k Linear Matter Galaxy Monopole Quadrupole Hexadecapole
0.0004010572880855496 6769.6764053536535 2110.785519544159 1669.4227973573024 2618.967305107206 1997.1762220178096 130.75261677308885
0.0004104180502904709 6920.46921660195 2157.802289876563 1730.5245136743824 2701.2217426779803 2041.6623309861805 133.66475645037454
0.00041999729467153064 7074.522582235861 2205.835653571938 1792.9470179693083 2785.2559787725645 2087.1111167787717 136.63989336649848
0.00042980012064907985 7231.901555524361 2254.905890718957 1856.7169666376349 2871.1046267646548 2133.5411284163424 139.67923998123754
0.00043983174666502236 7392.6722837860625 2305.0336225325204 1921.8614594651228 2958.802303274336 2180.9709164194087 142.78400873669437
0.00045009751296080464 7556.902000076648 2356.239808680087 1988.408027990481 3048.383735673294 2229.419094816224 145.95541622320843
0.00046060288442023985 7724.658602204578 2408.545614285677 2056.3842881018527 3139.886050259892 2278.9056720453355 149.19476980810757
0.0004713534534786907 7896.01062160572 2461.9724002554917 2125.8179305548642 3233.3487323357276 2329.4520273437556 152.50346608374946
0.00048235494310014675 8071.02762501978 2516.541850228719 2196.737058044314 3328.811370362059 2381.0795992992153 155.88290544756808
0.0004936132098237916 8249.780238654486 2572.2759781865157 2269.170202663006 3426.313557094485 2433.8098280614927 159.33448832182333
0.0005051342468816766 8432.340154137633 2629.197130307231 2343.1463283098633 3525.8948891414343 2487.664155519948 162.85961510390084
0.0005169241873891598 8618.780134101922 2687.3279867072124 2418.6948329404136 3627.594967745003 2542.6640252607094 166.45968627480363
0.0005289893076098151 8809.174017385303 2746.6915630614767 2495.8455506549913 3731.453398269517 2598.8308826001185 170.13610222460613
0.0005413360302965375 9003.596723827917 2807.3112120988008 2574.628753628231 3837.5097909337337 2656.186174700493 173.89026341402214
0.0005539709281106401 9202.124258647778 2869.2106249652275 2655.075153833783 3945.803760430204 2714.7513505889356 177.72357031662142
0.0005669007271207433 9404.833683578248 2932.413822030562 2737.2158935789685 4056.3750481418833 2774.5479254624765 181.6374275975018
0.0005801323103833379 9611.802467417616 2996.944946632057 2821.082325818049 4169.265879409643 2835.598725394847 185.63332454220344
0.0005936727216069126 9823.108460445079 3062.828257320949 2906.706000790462 4284.520798446318 2897.9277998866605 189.71282966898588
